file,style,lang, title, url, body
AffordableRentalHousingList.md,,en,,Affordable Rental Housing List,https://housing.smcgov.org/san-mateo-county-affordable-rental-housing-list,"San Mateo County"
BayArea211.md,,en,,211 United Way Bay Area,https://www.211bayarea.org/sanmateo/,"San Mateo County and Bay Area"
CIH.md,,en,,Community Infomation Handbook,https://hsa.smcgov.org/sites/hsa.smcgov.org/files/documents/files/CIH2019_English_020719.pdf,"San Mateo County"
HAotCoSM.md,,en,,Housing Authority of the County of San Mateo,https://www.smchousingwaitlist.org/landing,"San Mateo County"
HIPHousing.md,,en,,HIP Housing,https://hiphousing.org/programs/home-sharing-program/,"San Mateo County"
HavenConnect.md,,en,,Haven Connect,https://apply.havenconnect.com/,"San Mateo County, Bay Area, and Beyond"
HousingChoices.md,,en,,Housing Choices,https://www.housing.org/tenants,"Email <intake@housingchoices.org>"
HowItWorks.md,,en,How it Works?,https://res.cloudinary.com/exygy/image/upload/v1656447895/Revised_Affordable_Housing_Application_and_Selection_Process_-_San_Mateo_County_Final_ENG_ydko9g.pdf),"This guide describes affordable housing and how to get into it."
HowItWorks.md,,es,¿Cómo funciona?,https://res.cloudinary.com/exygy/image/upload/v1656447890/Revised_Affordable_Housing_Application_and_Selection_Process_-_San_Mateo_County_ES_phyiwc.pdf),"En esta guía se describen las viviendas asequibles y cómo acceder a ellas."
HowItWorks.md,,zh,這個怎麼運作？,https://res.cloudinary.com/exygy/image/upload/v1656447884/Revised_Affordable_Housing_Application_and_Selection_Process_-_San_Mateo_County_CH_ntjioc.pdf),"本指南會說明何謂社會住宅,以及如何申請。"
HowItWorks.md,,vi,Làm thế nào nó hoạt động?,https://res.cloudinary.com/exygy/image/upload/v1656447899/Revised_Affordable_Housing_Application_and_Selection_Process_-_San_Mateo_County_VIET_ztpwj6.pdf),"Hướng dẫn này mô tả nhà ở giá rẻ và cách tiếp cận loại hình nhà ở này."
ProjectSentinel.md,,en,,Project Sentinel,https://www.housing.org/tenants,"San Mateo County and Bay Area"
SMCHousingSearch.md,,en,,SMCHousingSearch,http://www.socialserve.com/dbh/ViewUnit/663044?ch=SMC&hm=kt9oO6pN,"San Mateo County"
Sidebar.md,,en,,,,,,"San Mateo County's Department of Housing"
